observation_date,CP0000EZ19M086NEST
2014-07-01,99.57
2014-08-01,99.68
2014-09-01,100.12
2014-10-01,100.06
2014-11-01,99.88
2014-12-01,99.78
2015-01-01,98.24
2015-02-01,98.85
2015-03-01,100.00
2015-04-01,100.43
2015-05-01,100.71
2015-06-01,100.72
2015-07-01,100.11
2015-08-01,100.12
2015-09-01,100.32
2015-10-01,100.45
2015-11-01,100.01
2015-12-01,100.03
2016-01-01,98.56
2016-02-01,98.73
2016-03-01,99.96
2016-04-01,100.17
2016-05-01,100.59
2016-06-01,100.77
2016-07-01,100.28
2016-08-01,100.34
2016-09-01,100.72
2016-10-01,100.96
2016-11-01,100.60
2016-12-01,101.13
2017-01-01,100.26
2017-02-01,100.66
2017-03-01,101.49
2017-04-01,102.07
2017-05-01,101.98
2017-06-01,102.08
2017-07-01,101.62
2017-08-01,101.89
2017-09-01,102.29
2017-10-01,102.34
2017-11-01,102.14
2017-12-01,102.49
2018-01-01,101.56
2018-02-01,101.78
2018-03-01,102.91
2018-04-01,103.32
2018-05-01,103.97
2018-06-01,104.09
2018-07-01,103.85
2018-08-01,104.01
2018-09-01,104.42
2018-10-01,104.68
2018-11-01,104.10
2018-12-01,104.05
2019-01-01,102.97
2019-02-01,103.30
2019-03-01,104.35
2019-04-01,105.10
2019-05-01,105.24
2019-06-01,105.41
2019-07-01,104.91
2019-08-01,105.06
2019-09-01,105.29
2019-10-01,105.44
2019-11-01,105.10
2019-12-01,105.43
2020-01-01,104.37
2020-02-01,104.56
2020-03-01,105.13
2020-04-01,105.43
2020-05-01,105.33
2020-06-01,105.69
2020-07-01,105.32
2020-08-01,104.88
2020-09-01,104.96
2020-10-01,105.15
2020-11-01,104.80
2020-12-01,105.15
2021-01-01,105.32
2021-02-01,105.54
2021-03-01,106.53
2021-04-01,107.14
2021-05-01,107.42
2021-06-01,107.70
2021-07-01,107.60
2021-08-01,107.98
2021-09-01,108.49
2021-10-01,109.41
2021-11-01,109.90
2021-12-01,110.37
2022-01-01,110.70
2022-02-01,111.74
2022-03-01,114.46
2022-04-01,115.11
2022-05-01,116.07
2022-06-01,117.01
2022-07-01,117.14
2022-08-01,117.85
2022-09-01,119.26
2022-10-01,121.03
2022-11-01,120.95
2022-12-01,120.52
2023-01-01,120.27
2023-02-01,121.24
2023-03-01,122.34
2023-04-01,123.11
2023-05-01,123.14
2023-06-01,123.45
2023-07-01,123.32
2023-08-01,124.00
2023-09-01,124.40
2023-10-01,124.51
2023-11-01,123.82
2023-12-01,124.02
2024-01-01,123.58
2024-02-01,124.35
2024-03-01,125.29
2024-04-01,126.01
2024-05-01,126.28
2024-06-01,126.55
2024-07-01,126.50
2024-08-01,126.67
2024-09-01,126.56
2024-10-01,126.99
2024-11-01,126.58
2024-12-01,127.03
2025-01-01,126.67
2025-02-01,127.22
2025-03-01,127.99
